text	label
fascinating view past : book fascinating anyone interested new zealand history general account life past . surprisingly well written series letter , give real insight life pioneer 1860s , high low . 'll laugh author first attempt baking , cry dig dead lamb snowdrift . wonderful book heartily recommend .	1
amusing look past : wa hoping far detail working handling sheep way new zealander past got book . unfortunately , collection letter 'high society ' girl wa packed moved nz outback fiancee . granted , amusing reasonably interesting read see world , well bit insightful least one family thought slave house maid time fortunately long behind u .	1
n't like ... : n't like version song , `` believe , '' even though wa original . favored orchestral rendition song wa beautifully arranged han zimmer .	0
two diva , shut ! : two songbird trying best singer time . hate diva routine ! admit maybe one catchy tune.but , song irritating.two diva trying hit highest note one song ! give whitney one star almost josephine baker look oscar , looked fine ! child song 80 . mariah badly premeditated sexy image undying effort best , major ego ! two diva shut !	0
movie version much better ! : movie version song much better . mariah/whitney version simply screaming contest see sing better . admit song beautiful touching , would better one sung instead competition . buy soundtrack listen movie version . showcase song much better light .	0
song soulful : u one best singer song two u sound absolutely brilliant . u coming india	1
wuzzup , mariah ! ? ! 'm kaligirl seoul ! : `` believe '' awesome song . mariah song hit like nuke ! awesome duet performed whitney houston 'll never get sick . song ( ) combined spiritual , also relates racism . personally recommend song kid adult !	1
new age ? : song sung beautifully , promoting new age ? believe god ? think focus believing god .	0
`` believe '' : song , sung whitney houston mariah carey great ! sometimes , leaf tear eye . , song ha contrast . whitney houston ha one beautiful voice universe . sings first verse chorus , mariah carey start sing second verse ... huge contrast ! mariah screech ... celine dion , ha wonderfully beautiful voice universe , sung whitney houston , song would 've irresistible . would unexplainable beautiful . anyway , great job , mariah whitney !	1
really like music word story : singer good , ha nice voice talented singer . enjoy listening music much	1
informative : read . say use . woodsman usually go already prepared modern durable gear . maybe live replace good inevitable need replacing suggestion book , seeing working class man live n wood good reading .	1
honest old fashioned opinion : placed eye original , seems picture correctly placed . honest old fashioned opinion come life explains doe appreciate safe way carry axe . enjoy tone ease reading , definitely catch vernacular time . great piece history impart practice still meaning day .	1
beginner woodsman manual : basically beginner guide traveling , camping , surviving wood . cover wide variety topic cabin building snowshoeing . biggest takeaway book always axe blanket traveling wood . also , never explore unfamiliar area without compass mean fire creation.do n't expect story . manual .	1
worth : thought wa amazing well put together book . really enjoyed whole way one problem	1
impressive character development mostly morbid . : `` magic barrel '' wa collection story intrigued , whimsical sounding name . wa disappointed , however , find story whimsical least . malamud ha created world paranoia abundant , worse , poor , lackadaisical decision abound equally . winner malamud story . found becoming angry character , way responded conflict wa alarmingly pathetic . character development strong , however , enjoy maybe one two story found ending rather dreary . literary work `` sad , '' deterrant . malamud character , hand , hopeless . ca n't seem enjoy reading people operate way .	0
wrong title , right author : selected complete short story malamud book selction short story . wa disappointed decided keep careful ordering .	0
boring ! : would suggest sitting read book brew large pot coffee . better yet , n't sit read . dry stuff !	0
almost-perfect book . : prof. jay genius . technique shown book work effectively . use many informal nhb match saved butt hundred time . prof. jay included ground-fighting escape reversal , 'll recommend book everyone , even bjj practitioner .	1
well authored : found book well authored . show need know give detailed method teaching technique . though think overuse wrist lock inneffective overall method great proven competition wally jay student ( see history provided book )	1
good book ! ! ! ! ! ! ! ! : great book , techniqes use ! love book , move cause pain , injury . really like section finger lock . problem book , picture great . martial art , looking , get book .	1
small circle jujitsu book review : great technique lot . good introduction world jujitsu . issue wa many picture somewhat far away ca n't clearly see technique specifically executed . also , written description assume baseline knowledge technique .	1
solid technique : book ha great instruction drill . good solid foundation joint lock submission overall solid grasp body movement . ha given good variation technique already teach use .	1
alot decent picture instruction : student jiujitsu understood alot move found without previous knowledge picture instruction difficult understand . feel alot good information worth buying .	0
buy different jujitsu book : bought knew anything . training bit reading realized book lacking whole lot . really recomend book unless get free .	0
strange martial art : would like say admire one put time effort learn martial art master . take lot dedication hard work . really great deal respect wally jay . said though , think small circle jujitsu really ineffective grappling system . also think good street . reading book confirmed worst suspicion art . buy looking good laugh money burn . , actually want good book fighting try anything kid peligro brazilian jiu-jitsu series . go buy mario sperry vale tudo tape . n't get book !	0
great product ! : using cleansing gel year . occasionally tried product , keep coming back exuviance . skin somewhat sensitive cleanser leaf soft smooth , irritation . recently , met new esthetician thought wa wearing makeup washed face exuviance purifying cleansing gel used moisturizer ! made day !	1
total rip ! : ordered realized n't specify size went back 20 min . later cancel order order another one.the shipping 3/4 priced item ! thought wa canceled order n't even work . sending email day tried call avail . horrible communication . took money n't even responded email phone call.caveat emptor	0
good track : 2-3 great trackes . shame compilation ever great inspiring track rest pure background stuff .	0
product detail : playboy magazine may 2004cover : pamela andersonplaymate : nicole whiteheadinterview : johnny depp20 question : matthew perrypictorials : remembering helmut newton master erotic photographypam anderson - stripperella show off.features : gunning big guy - balco steroid investigationraising bar - secret making great cocktailssex pistol - vibrator tested .	1
essential : probably best reference heinlein work ever written . one best thing complete well organized , find whatever 're looking second , handy.since 've bought 've consulted hundred time , could n't without .	1
must-have heinlein collector : gifford one top expert heinlein work , `` reader companion '' exhaustively researched well-thought-out compendium nearly heinlein work.i say `` nearly '' book miss heinlein collection published year since gifford 2000 printing . [ ... ] 've collecting heinlein work year , even obscure one , still learned new thing gifford book .	1
heard thier music movie southlander : really neat music , make feel good inside . music album part sountrack movie southlander . plan buying cd .	1
good cd : heard milk rock spin spider spin internet radio fell love tiger . make greatest hit cd would vote tiger . ha great flow like music . cd also liked gently wave soft grafitti quietly beautiful . n't think length song dictate much like , certainly true gently wave .	1
two family shaped history : really enjoyed book . like novel vivid descriptive , clearly paint life woman country culture , book . offer glimpse two different family el salvador - rich coffee plantation land owner peasant coffee pickers/servants . specifically liked benitez action every day life ~ joy , sorrow , love , birth , death ~ take place context major historical event . loved `` telenovela '' character took life . anyone ha visited latin american country vouch really take whole nation storm ! ( think , many people america waiting see david american idol ? ! ) person salvadoran descent served middle-age introduction tumultuos rich history country left longing learn reconnect root .	1
disappointing : book group selection month wa looking forward good read , especially judging appealing cover . ms. benita indeed great story teller visual discriptions , however , character developmentis sorely lacking . perhaps point , ? sort trying event , happy occassions significant life experience occur little impact really know care many chacacters , although wanted . jacinta particular needed enchancement . interesting hear fellow book club member think .	0
unbelievable ! : amazed high rating book received . wa , undoubtedly , worst book ever read . might better good editing . many unimportant character many horrible description could omitted . really care dog , many relevance story . really care detailed description decor room . yes , finish book , way , ending . toward middle book actually started editing . mess !	0
improbable nature man : story central americal often seem surreal . could people rich live close proximity poor ? could people motivated high principal commit barbaric act violence ? insulated liberal america much want empatize poor fact much common rich . found book compelling provided much empathy side conflict . one could demonize party . instead watched helplessly event unfolded greived needle loss . recommend book soul heart need exercise .	1
la belleza de la salsa ! : la salsa se lleva en la sangre . al igual que sus hermanos edwin rivera jerry rivera , saned lleva la salsa en la sangre se puede sentir en cada uno de los temas de este disco . saned e hermosa tiene una voz inpresionante !	1
